ward,AUSPICE,bldg_type,cwelcc_flag,TOTSPACE,subsidy
3,Non Profit Agency,Community/Recreation Centre,1,47,1
7,Non Profit Agency,Community/Recreation Centre,1,90,1
18,Non Profit Agency,Catholic Elementary School,1,64,1
24,Commercial Agency,Other,1,149,1
22,Non Profit Agency,Public Elementary School,1,90,1
22,Non Profit Agency,Public Elementary School,1,80,1
21,Non Profit Agency,Public Elementary School,1,77,1
22,Non Profit Agency,Public Elementary School,1,88,1
4,Non Profit Agency,Community/Recreation Centre,1,80,1
2,Non Profit Agency,Public Elementary School,1,43,1
2,Non Profit Agency,Public Elementary School,1,112,1
7,Non Profit Agency,Public Elementary School,1,56,1
22,Non Profit Agency,Catholic Elementary School,1,80,1
22,Non Profit Agency,Public Elementary School,1,43,1
21,Non Profit Agency,Public Elementary School,1,43,1
19,Non Profit Agency,Community/Rec Centre - City,1,30,1
25,Non Profit Agency,Public Elementary School,1,71,1
14,Non Profit Agency,Public Elementary School,1,251,1
14,Non Profit Agency,Public Elementary School,1,131,1
14,Non Profit Agency,Public Elementary School,1,161,1
1,Non Profit Agency,Public Elementary School,1,30,1
4,Non Profit Agency,Public Elementary School,1,215,1
17,Non Profit Agency,Public Elementary School,1,60,1
17,Non Profit Agency,Public Elementary School,1,86,1
21,Non Profit Agency,Public Elementary School,1,56,1
21,Non Profit Agency,Public Elementary School,1,30,1
23,Non Profit Agency,Public Elementary School,1,56,1
19,Non Profit Agency,Public Elementary School,1,148,1
6,Non Profit Agency,Public High School,1,29,1
21,Non Profit Agency,Community/Recreation Centre,1,90,1
16,Non Profit Agency,Public Elementary School,1,106,1
25,Non Profit Agency,Public Elementary School,1,82,1
2,Non Profit Agency,Catholic Elementary School,1,86,1
3,Other,Other,1,62,1
25,Non Profit Agency,Public Elementary School,1,107,1
16,Non Profit Agency,Public Elementary School,1,30,1
10,Other,Office Building,1,62,1
11,Non Profit Agency,Public Elementary School,1,126,1
13,Non Profit Agency,Other,1,52,1
6,Commercial Agency,High Rise Apartment,1,42,1
2,Non Profit Agency,Office Building,1,49,1
8,Non Profit Agency,Public Elementary School,1,259,1
12,Non Profit Agency,Public Elementary School,1,181,1
8,Non Profit Agency,Public Elementary School,1,257,1
12,Non Profit Agency,Public Elementary School,1,142,1
22,Non Profit Agency,Public Elementary School,1,20,1
14,Non Profit Agency,Purpose Built,1,62,1
1,Non Profit Agency,Low Rise Apartment,1,72,1
20,Non Profit Agency,High Rise Apartment,1,52,1
4,Non Profit Agency,Public Elementary School,1,155,1
25,Non Profit Agency,Public Elementary School,1,82,1
8,Non Profit Agency,High Rise Apartment,1,78,1
13,Non Profit Agency,Other,1,52,1
7,Commercial Agency,Community/Recreation Centre,1,31,1
24,Non Profit Agency,Public Elementary School,1,59,1
2,Commercial Agency,Public Elementary School,1,103,1
4,Non Profit Agency,Public Elementary School,1,243,1
4,Non Profit Agency,House,1,44,1
3,Non Profit Agency,Catholic Elementary (French),1,159,1
2,Commercial Agency,Place of Worship,0,48,0
12,Non Profit Agency,Place of Worship,1,92,1
9,Non Profit Agency,Other,1,49,1
3,Non Profit Agency,Catholic Elementary School,1,172,1
17,Non Profit Agency,Catholic Elementary School,1,46,1
10,Non Profit Agency,Community/Recreation Centre,1,24,1
22,Non Profit Agency,Catholic High School,1,49,1
25,Non Profit Agency,Public Elementary School,1,82,1
25,Non Profit Agency,Catholic Elementary School,1,39,1
11,Non Profit Agency,Public Elementary School,1,167,1
18,Non Profit Agency,Public Elementary School,1,191,1
12,Non Profit Agency,Public Elementary School,1,261,1
15,Non Profit Agency,Public Elementary School,1,63,1
14,Non Profit Agency,Public Elementary School,1,112,1
5,Non Profit Agency,Public High School,1,41,1
15,Non Profit Agency,Public Elementary School,1,102,1
15,Non Profit Agency,Public Elementary School,1,148,1
23,Non Profit Agency,Public Elementary School,1,103,1
5,Non Profit Agency,Public Elementary School,1,72,1
10,Non Profit Agency,Public Elementary School,1,71,1
10,Non Profit Agency,Community/Rec Centre - City,0,40,1
17,Non Profit Agency,Public Elementary School,1,86,1
15,Non Profit Agency,Public Elementary School,1,202,1
2,Non Profit Agency,Public Elementary School,1,90,1
18,Non Profit Agency,Catholic Elementary School,1,107,1
9,Non Profit Agency,Place of Worship,1,39,1
15,Non Profit Agency,Public Elementary School,1,222,1
20,Non Profit Agency,Public Elementary School,1,153,1
10,Non Profit Agency,Office Building,1,57,1
21,Non Profit Agency,Purpose Built,1,123,1
23,Non Profit Agency,Other,1,90,1
6,Non Profit Agency,High Rise Apartment,1,63,1
14,Non Profit Agency,Public High School,1,49,1
15,Non Profit Agency,Other,1,90,1
25,Other,Purpose Built,1,62,1
10,Non Profit Agency,Other,1,59,1
1,Non Profit Agency,Public High School,1,41,1
1,Non Profit Agency,Catholic Elementary School,1,223,1
14,Non Profit Agency,Purpose Built,1,57,1
5,Non Profit Agency,Public Elementary School,1,108,1
17,Commercial Agency,Other,1,78,1
17,Non Profit Agency,Public Elementary School,1,143,1
